product_name,region,regulatory_body,clinical_trial_phase,adverse_event_reports,manufacturing_site,inspection_findings,compliance_training,previous_violations,inspection_report_text,compliance_notes,compliance_issue
Trulicity,Asia,PMDA,II,6,SiteA,0,1,0,"No critical issues noted, routine inspection.",No issues reported by QA team.,0
Trulicity,North America,PMDA,IV,5,SiteC,0,0,1,Non-compliance with SOPs in batch records.,All procedures followed as per protocol.,1
Trulicity,Asia,PMDA,I,2,SiteC,1,1,0,Inspection passed with no findings.,Self-reported deviation under investigation.,1
Trulicity,Asia,PMDA,IV,4,SiteA,2,0,0,Major issue flagged: unreported deviation found.,Deviation from protocol due to site issue.,0
Trulicity,North America,FDA,I,3,SiteA,1,1,1,Inspection passed with no findings.,Review pending for last inspection round.,1
Trulicity,North America,PMDA,III,7,SiteC,0,1,0,Inspection passed with no findings.,All procedures followed as per protocol.,0
Trulicity,Asia,EMA,I,4,SiteA,3,0,0,Follow-up needed on previously reported issue.,Self-reported deviation under investigation.,1
Trulicity,Europe,EMA,III,5,SiteB,0,0,0,Follow-up needed on previously reported issue.,Deviation from protocol due to site issue.,0
Trulicity,Asia,PMDA,IV,4,SiteB,2,0,0,"No critical issues noted, routine inspection.",Documentation not updated in real time.,1
Trulicity,Asia,PMDA,III,5,SiteC,1,1,1,Inspection passed with no findings.,No issues reported by QA team.,1
Trulicity,Asia,EMA,IV,4,SiteC,1,1,0,Observed potential data integrity concerns.,Documentation not updated in real time.,1
Trulicity,Asia,EMA,II,6,SiteA,3,1,1,Major issue flagged: unreported deviation found.,No issues reported by QA team.,1
Trulicity,North America,FDA,II,9,SiteA,2,1,0,Several minor documentation errors were found.,All procedures followed as per protocol.,1
Trulicity,Asia,EMA,II,3,SiteC,3,1,0,Follow-up needed on previously reported issue.,Training records incomplete for some staff.,1
Trulicity,Europe,EMA,III,8,SiteC,3,0,0,Follow-up needed on previously reported issue.,No issues reported by QA team.,1
Trulicity,North America,PMDA,II,5,SiteB,5,0,0,Follow-up needed on previously reported issue.,All procedures followed as per protocol.,1
