"product_name","region","regulatory_body","clinical_trial_phase","adverse_event_reports","manufacturing_site","inspection_findings","compliance_training","previous_violations","inspection_report_text","compliance_notes_text","compliance_issue"
"Trulicity","North America","PMDA","II",5,"SiteC",2,1,0,"Data integrity concerns.","Deviation due to site.",0
"Trulicity","North America","PMDA","IV",6,"SiteB",2,1,0,"Untrained personnel.","QA pending review.",1
"Trulicity","North America","EMA","I",7,"SiteC",2,1,0,"No findings.","All procedures followed.",1
"Trulicity","North America","PMDA","IV",5,"SiteA",0,1,0,"No findings.","Docs not up to date.",1
"Trulicity","Europe","EMA","I",8,"SiteC",1,1,1,"Untrained personnel.","All procedures followed.",1
"Trulicity","Europe","EMA","II",4,"SiteA",1,1,0,"No findings.","Deviation due to site.",0
"Trulicity","Europe","FDA","II",10,"SiteB",3,1,1,"No findings.","Training records missing.",1
"Trulicity","North America","FDA","I",7,"SiteA",1,0,0,"Documentation errors noted.","Deviation due to site.",1
"Trulicity","Asia","EMA","II",5,"SiteC",4,0,1,"No critical issues noted.","Training records missing.",1
"Trulicity","Asia","EMA","III",7,"SiteB",5,1,0,"No findings.","Deviation due to site.",1
"Trulicity","North America","PMDA","IV",3,"SiteA",2,1,0,"No findings.","Training records missing.",0
"Trulicity","North America","PMDA","II",3,"SiteB",2,0,0,"Deviation found.","Training records missing.",1
"Trulicity","Europe","EMA","I",6,"SiteC",1,0,1,"Documentation errors noted.","Deviation due to site.",1
"Trulicity","Europe","FDA","IV",4,"SiteC",5,1,1,"Untrained personnel.","QA pending review.",1
"Trulicity","Europe","FDA","I",7,"SiteA",1,1,0,"Data integrity concerns.","Deviation due to site.",0
"Trulicity","Asia","EMA","II",6,"SiteB",0,1,0,"Deviation found.","Deviation due to site.",1
"Trulicity","Asia","PMDA","III",10,"SiteA",2,0,0,"Data integrity concerns.","Training records missing.",1
"Trulicity","North America","PMDA","II",2,"SiteC",1,1,0,"No critical issues noted.","Docs not up to date.",0
"Trulicity","North America","PMDA","IV",7,"SiteC",3,1,0,"No findings.","All procedures followed.",1
"Trulicity","Asia","EMA","I",5,"SiteA",3,1,2,"Data integrity concerns.","Deviation due to site.",1
"Trulicity","North America","PMDA","IV",8,"SiteA",2,0,1,"Data integrity concerns.","QA pending review.",1
